,case_name,backrub_steps,struct_num,score_function_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,total_score,yhh_planarity
0,6FEG,5000,1,fa_ref2015,7.731687964918137,0.0,2.931136849061545,1.865174681370263e-14,3.694822225952521e-13,-0.6539908125521663,-4.563350862271136,1.6550355060670974,-5.275069270282984e-11,0.1578275285539732,8.317613264807733e-11,-0.8829750048057576,0.0,0.0,7.105427357601002e-15,0.0,0.0,6.37537116900441,0.0
1,6FEG,5000,2,fa_ref2015,-0.3298206248944098,0.0,0.5073341828742173,-3.108624468950438e-14,1.6342482922482304e-13,-0.8859707378958319,3.6430634429739257,-1.2818889471443917,7.980283101005625e-11,0.9283101549546124,2.588649294921197e-10,0.7771618916434377,0.0,7.105427357601002e-15,8.08242361927114e-14,0.0,0.0,3.3581893628509363,2.220446049250313e-16
2,6FEG,5000,3,fa_ref2015,9.713109506751834,0.0,2.190339065203375,3.2862601528904634e-14,1.4921397450962104e-13,-0.9508884996719047,-4.500786616979326,1.1766749839790407,-9.922196397837979e-11,-0.0776869214815683,-6.767209015379194e-10,-0.29303936219829296,0.0,0.0,1.1213252548714081e-13,-7.105427357601002e-15,0.0,7.257722154828031,0.0
3,6FEG,5000,4,fa_ref2015,7.65719244607908,0.0,0.2831490337578657,-2.5757174171303632e-14,-5.755396159656812e-13,-1.4385364851540459,1.2284094611745786,0.0889835518401334,5.81490411377672e-11,0.7179272418691589,1.056434939528117e-10,-0.6342467275306802,0.0,0.0,-1.41886502547095e-13,0.0,0.0,7.9028785222001545,0.0
4,6FEG,5000,5,fa_ref2015,8.830362041039507,0.0,1.2178378623927983,3.5083047578154947e-14,3.268496584496461e-13,-3.1659499381118508,-3.6259072360667233,0.5163267563608578,-2.3565149831483723e-11,0.017325497303726678,1.6559908999624895e-10,-0.6850449297809362,0.0,0.0,5.306866057708248e-14,0.0,0.0,3.1049500532813283,1.1102230246251565e-16
5,6FEG,5000,6,fa_ref2015,9.389431386583283,5.684341886080802e-14,3.0270168827062207,4.3076653355456074e-14,5.968558980384842e-13,-2.3150975348853393,-3.3842680592182433,0.9992867445074758,3.842259843622742e-12,1.2679458410874531,-1.8380319488642272e-10,-0.4039346595245519,0.0,0.0,2.282618538629322e-13,0.0,0.0,8.58038060107998,0.0
6,6FEG,5000,7,fa_ref2015,6.631329187750225,0.0,1.1227731973019672,-1.021405182655144e-14,-4.973799150320701e-14,-0.8658480625847602,-2.1742538221217274,2.244058234756558,2.7558400006455486e-11,-0.9119558477988647,-4.4778403207601514e-11,-0.34462380046887375,-7.105427357601002e-15,0.0,-2.4158453015843406e-13,7.105427357601002e-15,0.0,5.701479086817727,4.440892098500626e-16
7,6FEG,5000,8,fa_ref2015,8.90172159760482,0.0,2.4058364153045773,1.199040866595169e-14,4.334310688136611e-13,-1.3550603457768773,-4.4934312996921335,0.9104300733713693,4.533262654149439e-11,-0.044173850601342934,4.4636294660449494e-11,-0.6997657969892614,0.0,7.105427357601002e-15,-2.62234678416462e-13,0.0,0.0,5.625556793310778,0.0
8,6FEG,5000,9,fa_ref2015,9.294938177338054,5.684341886080802e-14,1.1055937094560022,2.4424906541753444e-14,4.831690603168681e-13,-0.34430470832147364,-5.217591123188754,-0.4503149615659723,-1.2159873108430475e-10,-0.41763513128473306,-4.722409130408778e-10,-0.0029545528592365145,0.0,7.105427357601002e-15,2.877698079828406e-13,0.0,0.0,3.967731408982786,0.0
9,6FEG,5000,10,fa_ref2015,7.6009940780325,-5.684341886080802e-14,2.870776541870839,1.1546319456101628e-14,9.947598300641403e-14,-0.7148335955642295,-4.690274130768785,1.5292097806883937,1.0168577091462794e-10,0.1293173243002279,3.396678494027583e-10,-0.30428322518672246,0.0,-7.105427357601002e-15,1.1102230246251565e-13,7.105427357601002e-15,0.0,6.420906773813016,0.0
10,6FEG,5000,11,fa_ref2015,8.530843794011616,-5.684341886080802e-14,1.3442382814458824,4.574118861455645e-14,6.394884621840902e-14,-0.8582919361259087,-2.4761541888520924,-0.04363448830884664,-7.110223521067383e-11,0.5484712905491413,-7.641176580364117e-11,-0.4922746263267612,7.105427357601002e-15,0.0,2.4291679778798425e-13,7.105427357601002e-15,0.0,6.5531981262424495,0.0
11,6FEG,5000,12,fa_ref2015,9.612565553371269,-5.684341886080802e-14,3.0137056853311606,-3.1530333899354446e-14,-1.5631940186722204e-13,-1.0234724604073193,-5.857876191595665,1.7833119763442653,5.333156138931372e-11,-0.568147665996829,-1.880096078821225e-10,-1.2351212802105778,7.105427357601002e-15,7.105427357601002e-15,1.8895995879120164e-13,0.0,0.0,5.724965616702917,0.0
12,6FEG,5000,13,fa_ref2015,6.017129477161916,-5.684341886080802e-14,2.034909856064985,-3.1086244689504383e-15,4.334310688136611e-13,-1.3807161955054994,-2.840300333635014,0.05081321156420415,-3.412381488487881e-11,0.8194937518494214,-2.4633095563331153e-10,0.18608179170976058,7.105427357601002e-15,7.105427357601002e-15,-1.616484723854228e-13,0.0,0.0,4.887411558927738,0.0
