,backrub_steps,case_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,nstruct,omega,p_aa_pp,pro_close,rama_prepro,ref,score_function_name,scored_state,total_score,yhh_planarity
4,25000,6FEG,7.840907771798607,0.0,1.3574735540546072,-0.0,0.0,-2.0636370451358363,-1.108582829787565,0.4542274898667291,0.0,-0.019380804443000166,0.0,-0.08422,50,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.461008136353541,0.0
5,30000,6FEG,8.11384481099599,-0.0,1.2385011455382164,-0.0,-0.0,-1.970665864305131,-1.433481892292093,0.504912976781861,0.0,-0.07732941256220993,-0.0,-0.04975,50,-0.0,-0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.375781764156634,-0.0
6,35000,6FEG,8.102454318410048,0.0,1.3097452704236305,-0.0,-0.0,-1.9749011574660251,-1.616102254622092,0.57656305808653,0.0,0.03272167158441608,-0.0,-0.13534,50,0.0,0.0,0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.430480906416507,-0.0
7,40000,6FEG,8.062156186360264,0.0,1.493928087630752,0.0,0.0,-1.8133154538816112,-1.6782565781372796,0.7264927811357376,0.0,0.04372542745524477,-0.0,-0.14817,50,-0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,6.834730450563107,-0.0
8,45000,6FEG,8.097170143347585,-0.0,1.584138317008661,0.0,0.0,-1.831585735849918,-1.6419936729489564,0.7051036745427477,0.0,0.1268838433374624,-0.0,-0.26217,50,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015-gam,ddG,7.039716569437582,-0.0
9,50000,6FEG,8.236666374227577,0.0,1.5500206470718636,0.0,0.0,-1.7833385973068143,-1.9599779166412645,0.6515232038655869,0.0,0.02761677282737729,0.0,-0.19524,50,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015-gam,ddG,6.722510484044325,0.0
0,5000,6FEG,-104.23795,0.0,-92.61461,-0.0,-0.0,17.32836,24.82868,-3.41959,0.0,-8.21527,0.0,0.94769,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-165.38269,0.0
1,10000,6FEG,-103.50336,0.0,-92.2391,0.0,0.0,16.927,26.15743,-3.04283,-0.0,-8.21336,-0.0,0.79079,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.12344,0.0
2,15000,6FEG,-104.06621,0.0,-90.49988,-0.0,0.0,17.16229,24.17677,-3.52153,0.0,-7.31997,-0.0,0.59208,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.47644,0.0
3,20000,6FEG,-104.83919,0.0,-91.06816,0.0,0.0,16.59735,24.76217,-3.6286,0.0,-7.88684,-0.0,1.39642,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.66686,0.0
4,25000,6FEG,-105.77715,0.0,-89.73708,-0.0,0.0,17.06325,25.1796,-3.12194,-0.0,-7.83208,-0.0,0.50195,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.72346,0.0
5,30000,6FEG,-104.1538,0.0,-88.61604,-0.0,0.0,16.70569,24.47372,-3.18964,-0.0,-7.1698,0.0,0.08748,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-161.86238,0.0
6,35000,6FEG,-103.74275,0.0,-87.98588,-0.0,0.0,16.82477,23.64157,-3.31272,-0.0,-5.66702,-0.0,-0.08584,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-160.32786,0.0
7,40000,6FEG,-103.65092,0.0,-88.81399,0.0,0.0,16.92017,24.61101,-3.1687,0.0,-6.62,0.0,0.29784,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-160.42458,0.0
8,45000,6FEG,-103.84191,0.0,-90.27137,-0.0,0.0,16.46755,25.76517,-3.0177,0.0,-6.3137,0.0,-0.1432,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-161.35516,0.0
9,50000,6FEG,-101.03342,0.0,-92.13342,0.0,-0.0,16.44523,23.9493,-3.04824,0.0,-6.51992,0.0,0.38889,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-161.95158,0.0
0,5000,6FEG,-105.02733,0.0,-92.6761,-0.0,-0.0,17.38708,25.51835,-3.55658,0.0,-8.51367,0.0,1.30881,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-165.55944,0.0
1,10000,6FEG,-103.26793,0.0,-91.68231,0.0,0.0,17.00138,25.52708,-3.19265,-0.0,-7.96374,-0.0,0.70847,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-162.8697,0.0
2,15000,6FEG,-103.65541,0.0,-90.50002,-0.0,0.0,17.12622,24.34949,-3.47959,0.0,-7.41054,-0.0,0.79663,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-162.77323,0.0
3,20000,6FEG,-104.34167,0.0,-90.03914,-0.0,0.0,16.45481,24.2083,-3.59105,0.0,-7.44997,-0.0,0.90181,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.85691,0.0
4,25000,6FEG,-104.65988,0.0,-90.15249,-0.0,-0.0,16.66687,24.34928,-3.23597,-0.0,-7.26893,-0.0,0.47015,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.83098,0.0
5,30000,6FEG,-104.45457,0.0,-90.50132,-0.0,0.0,16.67201,24.77453,-3.19477,0.0,-7.17541,0.0,-0.1569,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.03641,0.0
6,35000,6FEG,-103.66983,0.0,-88.34036,-0.0,-0.0,16.48327,23.15958,-3.30854,-0.0,-6.31707,-0.0,0.27192,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-161.72104,0.0
7,40000,6FEG,-103.89231,0.0,-89.63959,0.0,0.0,16.63659,24.33557,-3.34213,0.0,-6.68895,0.0,0.22971,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-162.36112,0.0
8,45000,6FEG,-104.62005,0.0,-91.18077,-0.0,0.0,16.39334,25.3454,-3.32601,-0.0,-6.66763,-0.0,0.24068,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.81504,0.0
9,50000,6FEG,-102.09024,0.0,-90.33882,-0.0,-0.0,16.61964,23.7501,-3.21794,0.0,-6.23601,0.0,0.35712,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-161.15615,0.0
0,5000,6FEG,-104.61786,0.0,-92.42059,-0.0,-0.0,17.4554,25.26306,-3.58577,0.0,-8.66381,0.0,1.50065,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-165.06892,0.0
1,10000,6FEG,-104.01087,0.0,-91.42997,0.0,0.0,17.00638,25.40127,-3.33126,-0.0,-8.02332,-0.0,0.83292,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.55486,0.0
2,15000,6FEG,-104.21007,0.0,-90.47875,0.0,0.0,17.12734,24.53329,-3.67641,-0.0,-7.63888,0.0,0.97204,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.37144,0.0
3,20000,6FEG,-104.77209,0.0,-90.01014,-0.0,-0.0,16.76284,24.5853,-3.519,0.0,-7.28364,-0.0,0.99942,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.2373,0.0
4,25000,6FEG,-104.74767,0.0,-90.82836,-0.0,-0.0,16.69676,25.23877,-3.33549,-0.0,-7.12366,-0.0,0.6155,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.48416,0.0
5,30000,6FEG,-104.44151,0.0,-91.61436,-0.0,-0.0,16.5543,25.04999,-3.18406,-0.0,-7.09911,-0.0,0.03737,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.69738,0.0
6,35000,6FEG,-103.40371,0.0,-89.1852,-0.0,-0.0,16.5706,23.1407,-3.25877,-0.0,-6.47802,-0.0,0.42367,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-162.19074,0.0
7,40000,6FEG,-104.11674,0.0,-89.99353,0.0,0.0,16.64685,24.33184,-3.18979,-0.0,-6.75653,0.0,0.32281,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-162.7551,0.0
8,45000,6FEG,-104.8358,0.0,-91.25571,-0.0,-0.0,16.53579,24.65821,-3.19137,-0.0,-6.67128,-0.0,0.24266,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.5175,0.0
9,50000,6FEG,-103.193,0.0,-89.88391,-0.0,-0.0,16.7382,24.18103,-3.27746,0.0,-6.44214,0.0,0.29195,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-161.58533,0.0
0,5000,6FEG,-104.18172,0.0,-92.22535,-0.0,-0.0,17.47058,25.1147,-3.54416,-0.0,-8.58748,0.0,1.39648,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-164.55696,0.0
1,10000,6FEG,-104.21639,0.0,-91.44107,0.0,-0.0,17.02189,25.32346,-3.26623,-0.0,-7.95724,-0.0,0.77494,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.76064,0.0
2,15000,6FEG,-104.31044,0.0,-91.24262,0.0,0.0,17.17195,24.65189,-3.55774,0.0,-7.8498,0.0,0.91925,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.21751,0.0
3,20000,6FEG,-104.85401,0.0,-90.22687,0.0,-0.0,16.8182,24.70695,-3.42723,0.0,-7.36282,-0.0,0.89982,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.44596,0.0
4,25000,6FEG,-105.01087,0.0,-91.11011,-0.0,-0.0,16.79113,25.12357,-3.3888,-0.0,-6.96325,-0.0,0.52666,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-164.03167,0.0
5,30000,6FEG,-104.05218,0.0,-91.07033,-0.0,0.0,16.75081,24.69708,-3.12211,-0.0,-7.14282,0.0,0.1812,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.75837,0.0
6,35000,6FEG,-103.58607,0.0,-89.86,-0.0,-0.0,16.55355,23.76681,-3.17449,-0.0,-6.71447,-0.0,0.31218,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-162.7025,0.0
7,40000,6FEG,-104.07403,0.0,-90.50673,0.0,0.0,16.66773,24.36605,-3.11905,-0.0,-6.73039,0.0,0.29776,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.09867,0.0
8,45000,6FEG,-104.61737,0.0,-90.68214,-0.0,-0.0,16.53604,24.47716,-3.02971,-0.0,-6.6313,-0.0,0.22301,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.7243,0.0
9,50000,6FEG,-103.10121,0.0,-89.58218,-0.0,-0.0,16.70033,23.94482,-3.23842,0.0,-6.52219,0.0,0.18295,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-161.6159,0.0
0,5000,6FEG,-104.22868,0.0,-92.66481,-0.0,-0.0,17.50424,25.45501,-3.45688,-0.0,-8.59344,0.0,1.43167,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-164.5529,0.0
1,10000,6FEG,-103.58047,0.0,-91.77702,0.0,0.0,16.90873,25.24336,-3.33355,-0.0,-7.95461,-0.0,0.85474,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.63882,0.0
2,15000,6FEG,-104.27172,0.0,-91.58024,0.0,0.0,17.14326,24.81561,-3.51641,0.0,-7.89076,0.0,0.98993,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-164.31032,0.0
3,20000,6FEG,-104.72178,0.0,-90.57062,0.0,-0.0,16.74554,25.02007,-3.35002,0.0,-7.35043,-0.0,0.86419,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.36305,0.0
4,25000,6FEG,-104.65828,0.0,-91.30126,-0.0,-0.0,16.69748,25.06072,-3.31725,0.0,-7.26875,-0.0,0.61737,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-164.16998,0.0
5,30000,6FEG,-104.4477,0.0,-91.46038,-0.0,-0.0,16.72603,25.31595,-3.1688,-0.0,-7.37574,0.0,0.42492,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.98571,0.0
6,35000,6FEG,-104.17168,0.0,-90.19771,-0.0,-0.0,16.55022,24.1323,-3.27702,0.0,-6.74158,-0.0,0.36138,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.34409,0.0
7,40000,6FEG,-104.35386,0.0,-91.02003,-0.0,-0.0,16.63167,24.68862,-3.20827,0.0,-6.97511,0.0,0.49798,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-163.73899,0.0
8,45000,6FEG,-104.41435,0.0,-90.56657,-0.0,-0.0,16.64343,24.61317,-3.02341,-0.0,-6.68428,-0.0,0.27254,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,mut_dG,-163.15947,0.0
9,50000,6FEG,-103.11777,0.0,-89.72825,-0.0,-0.0,16.5423,23.82454,-3.27587,0.0,-6.57204,0.0,0.25907,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,mut_dG,-162.06803,0.0
0,5000,6FEG,-114.87124,0.0,-94.62032,0.0,-0.0,19.21667,27.48746,-4.06365,0.0,-8.87333,0.0,1.39777,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-174.32664,0.0
1,10000,6FEG,-114.12508,0.0,-93.75338,-0.0,-0.0,18.77361,28.05277,-3.76812,-0.0,-7.82282,-0.0,1.00265,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.64037,0.0
2,15000,6FEG,-114.44473,0.0,-92.51453,-0.0,-0.0,19.19782,26.45138,-4.43666,0.0,-7.09821,-0.0,0.83271,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.01221,0.0
3,20000,6FEG,-114.97177,0.0,-93.06298,-0.0,-0.0,18.36706,25.9409,-4.1572,-0.0,-7.85533,-0.0,1.06316,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-174.67618,0.0
4,25000,6FEG,-116.13711,0.0,-91.30026,-0.0,-0.0,18.89074,26.56951,-3.53441,-0.0,-7.74236,0.0,0.72722,10,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.52668,0.0
5,30000,6FEG,-115.7657,0.0,-89.82666,-0.0,-0.0,18.31648,26.99496,-4.23891,0.0,-6.6669,-0.0,0.29676,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-170.88998,0.0
6,35000,6FEG,-114.88363,0.0,-90.45062,-0.0,-0.0,18.12913,26.51839,-4.69828,-0.0,-5.93812,-0.0,0.26322,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.05992,0.0
7,40000,6FEG,-114.80327,0.0,-91.24655,-0.0,-0.0,18.30072,27.06905,-4.59433,0.0,-6.5701,0.0,0.65787,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.18661,0.0
8,45000,6FEG,-114.76367,0.0,-92.82192,-0.0,-0.0,17.76797,28.01264,-3.9749,0.0,-6.42859,-0.0,0.12418,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.08428,0.0
9,50000,6FEG,-112.87558,0.0,-93.70549,-0.0,-0.0,18.31251,26.73186,-4.03821,0.0,-6.2695,0.0,0.20074,10,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.64368,0.0
0,5000,6FEG,-115.10113,0.0,-94.0804,0.0,-0.0,19.31242,27.10911,-3.83914,0.0,-8.77721,0.0,1.38308,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.99328,0.0
1,10000,6FEG,-113.90149,0.0,-93.10196,0.0,0.0,18.86164,27.55833,-3.84604,-0.0,-7.56218,-0.0,0.80369,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.18801,0.0
2,15000,6FEG,-114.0733,0.0,-92.21149,-0.0,-0.0,19.01255,26.59146,-4.16551,0.0,-7.31589,-0.0,0.90251,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-171.25967,0.0
3,20000,6FEG,-114.77578,0.0,-91.84849,-0.0,-0.0,18.58352,25.2911,-4.26761,-0.0,-7.62033,-0.0,0.85435,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.78323,0.0
4,25000,6FEG,-115.1265,0.0,-92.09442,0.0,0.0,18.58481,25.91735,-3.76191,-0.0,-7.38586,0.0,0.64089,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.22565,0.0
5,30000,6FEG,-115.49736,0.0,-91.87589,0.0,-0.0,18.65264,26.71351,-3.97973,-0.0,-6.99316,-0.0,0.02035,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.95963,0.0
6,35000,6FEG,-115.0607,0.0,-90.39756,0.0,0.0,17.99391,26.35913,-4.3716,-0.0,-6.46343,-0.0,0.54209,20,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-171.39817,0.0
7,40000,6FEG,-115.32424,0.0,-91.78293,-0.0,-0.0,18.23286,27.00723,-4.47483,-0.0,-6.63683,0.0,0.47268,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.50607,0.0
8,45000,6FEG,-115.89759,0.0,-93.74271,-0.0,-0.0,18.10896,28.07633,-4.02604,-0.0,-6.93716,-0.0,0.49795,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.92026,0.0
9,50000,6FEG,-113.85391,0.0,-92.23669,-0.0,-0.0,18.46094,26.66477,-4.15131,0.0,-6.04995,0.0,0.35397,20,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-170.81218,0.0
0,5000,6FEG,-114.71396,0.0,-93.81324,0.0,-0.0,19.40513,26.70667,-3.88401,0.0,-8.88187,0.0,1.51382,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.66746,0.0
1,10000,6FEG,-114.20217,0.0,-92.51812,0.0,-0.0,19.03412,26.76912,-3.75719,-0.0,-7.68361,-0.0,0.76258,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.59526,0.0
2,15000,6FEG,-114.26225,0.0,-91.96024,-0.0,-0.0,18.88993,26.16313,-4.05999,0.0,-7.59399,0.0,0.92074,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-171.90267,0.0
3,20000,6FEG,-115.05768,0.0,-91.54264,-0.0,-0.0,18.82945,25.8732,-3.98525,-0.0,-7.38797,-0.0,0.84775,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.42314,0.0
4,25000,6FEG,-115.27158,0.0,-92.77435,-0.0,-0.0,18.67683,26.63685,-3.96288,0.0,-7.17023,0.0,0.74064,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.12471,0.0
5,30000,6FEG,-115.57464,0.0,-93.06236,0.0,0.0,18.37603,27.26974,-3.8455,-0.0,-6.9057,0.0,0.20874,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.53369,0.0
6,35000,6FEG,-114.90786,0.0,-91.23193,-0.0,0.0,18.19809,25.92223,-4.2639,0.0,-6.57371,-0.0,0.62557,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.2315,0.0
7,40000,6FEG,-115.19558,0.0,-91.98172,-0.0,-0.0,18.2833,26.75549,-4.35436,-0.0,-6.80199,0.0,0.53182,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.76304,0.0
8,45000,6FEG,-116.09063,0.0,-93.6396,-0.0,-0.0,18.23106,27.20504,-4.08758,-0.0,-6.96271,0.0,0.49667,30,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-174.84776,0.0
9,50000,6FEG,-114.83657,0.0,-92.36626,-0.0,-0.0,18.47724,27.28212,-4.17393,-0.0,-6.56317,0.0,0.52332,30,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.65725,0.0
0,5000,6FEG,-113.95001,0.0,-93.17356,0.0,-0.0,19.50974,25.86476,-3.86504,0.0,-8.68505,0.0,1.33902,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.96014,0.0
1,10000,6FEG,-114.36411,0.0,-92.6085,-0.0,-0.0,19.08471,26.50345,-3.67716,-0.0,-7.70573,-0.0,0.72528,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.04205,0.0
2,15000,6FEG,-115.09584,0.0,-92.7664,-0.0,-0.0,19.15899,26.67676,-3.91821,0.0,-7.80287,0.0,0.99999,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.74758,0.0
3,20000,6FEG,-115.59805,0.0,-91.97776,-0.0,-0.0,18.83598,26.58217,-3.93736,-0.0,-7.4619,-0.0,0.83072,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.72619,0.0
4,25000,6FEG,-115.54827,0.0,-93.08546,-0.0,-0.0,18.71871,26.78821,-4.02918,0.0,-7.06325,-0.0,0.70658,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.51267,0.0
5,30000,6FEG,-115.56926,0.0,-92.81431,0.0,0.0,18.56137,27.21271,-3.79878,-0.0,-7.02564,0.0,0.31806,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.11585,0.0
6,35000,6FEG,-115.03358,0.0,-91.5437,-0.0,0.0,18.25352,26.3566,-4.05068,0.0,-6.67897,-0.0,0.45553,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.24129,0.0
7,40000,6FEG,-115.5674,0.0,-92.57311,-0.0,-0.0,18.38317,27.16506,-4.31568,-0.0,-6.69749,0.0,0.47463,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.13082,0.0
8,45000,6FEG,-115.92883,0.0,-93.07394,-0.0,-0.0,18.18018,27.08636,-3.95264,-0.0,-6.97711,0.0,0.46672,40,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-174.19925,0.0
9,50000,6FEG,-115.08612,0.0,-91.95223,-0.0,-0.0,18.41518,27.1782,-4.17042,-0.0,-6.60197,0.0,0.40318,40,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-171.81418,0.0
0,5000,6FEG,-114.26557,0.0,-93.81111,0.0,-0.0,19.56727,26.52125,-3.87315,0.0,-8.67991,0.0,1.42194,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.11928,0.0
1,10000,6FEG,-113.71087,0.0,-92.94034,-0.0,-0.0,18.9118,26.29918,-3.75339,-0.0,-7.80981,-0.0,0.84945,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.15398,0.0
2,15000,6FEG,-114.73515,0.0,-93.08024,-0.0,-0.0,18.99841,26.67506,-3.93901,0.0,-7.93752,0.0,1.0609,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.95755,0.0
3,20000,6FEG,-115.37112,0.0,-92.30827,-0.0,-0.0,18.62312,26.82573,-3.84923,-0.0,-7.51871,0.0,0.84075,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.75774,0.0
4,25000,6FEG,-115.42754,0.0,-93.15845,-0.0,-0.0,18.61272,26.8436,-3.89711,0.0,-7.22604,-0.0,0.70158,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.55124,0.0
5,30000,6FEG,-115.9638,0.0,-93.08707,0.0,0.0,18.5455,27.62135,-3.82466,-0.0,-7.20533,0.0,0.47467,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-173.43934,0.0
6,35000,6FEG,-115.65485,0.0,-91.95873,-0.0,0.0,18.37401,26.7314,-4.04837,0.0,-6.81369,0.0,0.49672,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-172.87352,0.0
7,40000,6FEG,-115.72185,0.0,-93.18822,-0.0,-0.0,18.29234,27.38767,-4.26856,-0.0,-7.07147,0.0,0.64615,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.92394,0.0
8,45000,6FEG,-115.8823,0.0,-92.98163,-0.0,-0.0,18.32234,27.25391,-4.03706,-0.0,-6.96393,0.0,0.53471,50,0.0,0.0,-0.0,0.0,0.0,fa_ref2015,wt_dG,-173.75396,0.0
9,50000,6FEG,-115.00007,0.0,-92.04501,-0.0,-0.0,18.17315,26.97668,-4.18166,-0.0,-6.6329,0.0,0.45431,50,0.0,0.0,0.0,0.0,0.0,fa_ref2015,wt_dG,-172.2555,0.0
