,backrub_steps,case_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,nstruct,omega,p_aa_pp,pro_close,rama_prepro,ref,score_function_name,scored_state,total_score,yhh_planarity
5,30000,6FEG,11.13313,-0.0,1.448,-0.0,-0.0,-1.82172,-2.21975,0.66144,0.0,-0.19342,-0.0,-0.17136,30,-0.0,-0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,8.83631,-0.0
6,35000,6FEG,11.50415,0.0,2.04673,-0.0,-0.0,-1.6275,-2.78153,1.00513,-0.0,0.09569,-0.0,-0.2019,30,0.0,0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.04076,0.0
7,40000,6FEG,11.07884,0.0,1.98819,0.0,0.0,-1.63645,-2.42365,1.16457,0.0,0.04546,0.0,-0.20901,30,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,10.00794,0.0
8,45000,6FEG,11.25484,0.0,2.38389,-0.0,0.0,-1.69526,-2.54683,0.89621,-0.0,0.29144,-0.0,-0.25401,30,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,10.33026,-0.0
9,50000,6FEG,11.64357,0.0,2.48235,0.0,0.0,-1.73904,-3.10109,0.89647,0.0,0.12103,-0.0,-0.23137,30,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,10.07192,0.0
0,5000,6FEG,9.76829,-0.0,0.94821,-0.0,-0.0,-2.03916,-0.75005,0.32087,-0.0,0.09757,0.0,0.05746,40,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,8.40319,0.0
1,10000,6FEG,10.14772,0.0,1.16743,0.0,0.0,-2.06282,-1.17999,0.41092,0.0,-0.25151,-0.0,0.04966,40,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,8.2814,0.0
2,15000,6FEG,10.7854,-0.0,1.52378,0.0,0.0,-1.98703,-2.02487,0.36047,0.0,-0.04693,0.0,-0.08074,40,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015,ddG,8.53007,-0.0
3,20000,6FEG,10.74403,-0.0,1.75089,0.0,0.0,-2.01777,-1.87522,0.51013,0.0,0.09908,-0.0,0.06909,40,0.0,-0.0,0.0,-0.0,-0.0,fa_ref2015,ddG,9.28023,-0.0
4,25000,6FEG,10.53741,0.0,1.97536,0.0,0.0,-1.92758,-1.66464,0.64038,-0.0,0.1,0.0,-0.17992,40,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,9.481,0.0
5,30000,6FEG,11.51707,-0.0,1.74398,-0.0,-0.0,-1.81056,-2.51564,0.67666,-0.0,-0.11717,0.0,-0.13686,40,-0.0,-0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,9.35749,-0.0
6,35000,6FEG,11.44751,0.0,1.6837,-0.0,-0.0,-1.69997,-2.58979,0.87619,-0.0,-0.03551,-0.0,-0.14335,40,0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,9.53879,-0.0
